plotID,collectDate,nitrogenPercent,cnSampleID,organicCPercent,soil_cn
MOAB_045,2017-05-23,0.03,MOAB_045-M-4.5-26-20170523-CN,0.11,3.666666666666667
MOAB_047,2017-05-23,0.03,MOAB_047-M-37.5-1-20170523-CN,0.11,3.666666666666667
MOAB_047,2017-05-23,0.04,MOAB_047-M-6-37.5-20170523-CN,0.1,2.5
MOAB_047,2017-05-23,0.03,MOAB_047-M-21-33.5-20170523-CN,0.23,7.666666666666667
MOAB_044,2017-05-23,0.04,MOAB_044-M-12.5-6-20170523-CN,0.06,1.5
MOAB_044,2017-05-23,0.05,MOAB_044-M-17-32-20170523-CN,0.11,2.1999999999999997
MOAB_044,2017-05-23,0.04,MOAB_044-M-21-31-20170523-CN,0.16,4
JORN_006,2016-07-19,0.03,JORN_006-M-21.5-9.5-20160719-CN,0.34,11.333333333333334
JORN_004,2016-07-19,0.03,JORN_004-M-26.5-3-20160719-CN,0.17,5.666666666666667
JORN_006,2016-07-19,0.02,JORN_006-M-8-20-20160719-CN,0.25,12.5
JORN_004,2016-07-19,0.03,JORN_004-M-10-4-20160719-CN,0.18,6
JORN_006,2016-07-19,0.02,JORN_006-M-25.5-35.5-20160719-CN,0.27,13.5
JORN_004,2016-07-19,0.03,JORN_004-M-2.5-35.5-20160719-CN,0.13,4.333333333333334
JORN_045,2016-07-19,0.02,JORN_045-M-30-16.5-20160719-CN,0.29,14.499999999999998
JORN_045,2016-07-19,0.03,JORN_045-M-15.5-38-20160719-CN,1.34,44.66666666666667
JORN_045,2016-07-19,0.03,JORN_045-M-37-36-20160719-CN,0.24,8
JORN_002,2016-07-19,0.02,JORN_002-M-7-19.5-20160719-CN,0.09,4.5
JORN_002,2016-07-19,0.03,JORN_002-M-39-15.5-20160719-CN,0.83,27.666666666666668
JORN_047,2016-07-19,0.03,JORN_047-M-4.5-7-20160719-CN,0.18,6
JORN_047,2016-07-19,0.03,JORN_047-M-39-14-20160719-CN,0.07,2.3333333333333335
JORN_002,2016-07-19,0.02,JORN_002-M-10.5-33.5-20160719-CN,0.24,12
JORN_047,2016-07-19,0.03,JORN_047-M-22.5-35-20160719-CN,0.4,13.333333333333334
JORN_042,2016-07-19,0.02,JORN_042-M-6-5.5-20160719-CN,0.17,8.5
JORN_042,2016-07-19,0.03,JORN_042-M-23.5-1-20160719-CN,0.12,4
JORN_003,2016-07-19,0.02,JORN_003-M-23-0.5-20160719-CN,0.08,4
JORN_042,2016-07-19,0.03,JORN_042-M-16-34.5-20160719-CN,0.2,6.666666666666667
JORN_003,2016-07-19,0.03,JORN_003-M-0-23-20160719-CN,0.13,4.333333333333334
JORN_003,2016-07-19,0.03,JORN_003-M-36.5-27.5-20160719-CN,0.1,3.3333333333333335
JORN_044,2016-07-19,0.04,JORN_044-M-2-3-20160719-CN,0.85,21.25
JORN_044,2016-07-19,0.04,JORN_044-M-28.5-2-20160719-CN,0.83,20.75
