plotID,collectDate,horizonName,variable,value
MOAB_011,2016-04-16,BCkk,siliconCitrateDithionate,NA
MOAB_011,2016-04-16,BCkk,acidity,NA
MOAB_011,2016-04-16,BCkk,waterRetention15Bar,NA
MOAB_011,2016-04-16,BCkk,MehlichIIITotP,NA
MOAB_011,2016-04-16,BCkk,Bray1PExtractable,NA
MOAB_011,2016-04-16,BCkk,OlsenPExtractable,1.6
MOAB_011,2016-04-16,A,biogeoTopDepth,0
MOAB_011,2016-04-16,A,biogeoBottomDepth,10
MOAB_011,2016-04-16,A,biogeoCenterDepth,5
MOAB_011,2016-04-16,A,airDryOvenDryRatio,1.014
MOAB_011,2016-04-16,A,gypsumConc,NA
MOAB_011,2016-04-16,A,caco3Conc,10
MOAB_011,2016-04-16,A,caNh4d,15.8
MOAB_011,2016-04-16,A,kNh4d,0.4
MOAB_011,2016-04-16,A,mgNh4d,1.7
MOAB_011,2016-04-16,A,naNh4d,0
MOAB_011,2016-04-16,A,cecdNh4,8.3
MOAB_011,2016-04-16,A,alSatCecd33,NA
MOAB_011,2016-04-16,A,baseSumCecd10,17.9
MOAB_011,2016-04-16,A,bsesatCecd10,100
MOAB_011,2016-04-16,A,ececCecd33,NA
MOAB_011,2016-04-16,A,alKcl,NA
MOAB_011,2016-04-16,A,feKcl,NA
MOAB_011,2016-04-16,A,mnKcl,NA
MOAB_011,2016-04-16,A,phCacl2,7.6
MOAB_011,2016-04-16,A,phH2o,8.2
MOAB_011,2016-04-16,A,ec12pre,0.1
MOAB_011,2016-04-16,A,bSatx,NA
MOAB_011,2016-04-16,A,brSatx,NA
MOAB_011,2016-04-16,A,caSatx,NA
MOAB_011,2016-04-16,A,clSatx,NA
MOAB_011,2016-04-16,A,co3Satx,NA
MOAB_011,2016-04-16,A,ecSatp,NA
MOAB_011,2016-04-16,A,flSatx,NA
MOAB_011,2016-04-16,A,waterSatx,NA
MOAB_011,2016-04-16,A,hco3Sx,NA
MOAB_011,2016-04-16,A,kSatx,NA
MOAB_011,2016-04-16,A,mgSatx,NA
MOAB_011,2016-04-16,A,naSatx,NA
MOAB_011,2016-04-16,A,no2Satx,NA
MOAB_011,2016-04-16,A,no3Satx,NA
MOAB_011,2016-04-16,A,pSatx,NA
MOAB_011,2016-04-16,A,phSp,NA
MOAB_011,2016-04-16,A,resist,NA
MOAB_011,2016-04-16,A,so4Satx,NA
MOAB_011,2016-04-16,A,carbonTot,4.5
MOAB_011,2016-04-16,A,nitrogenTot,0.3
MOAB_011,2016-04-16,A,ctonRatio,12
MOAB_011,2016-04-16,A,estimatedOC,4
MOAB_011,2016-04-16,A,sulfurTot,0
MOAB_011,2016-04-16,A,alOxalate,0.05
MOAB_011,2016-04-16,A,feOxalate,0
MOAB_011,2016-04-16,A,mnOxalate,189.2
MOAB_011,2016-04-16,A,pOxalate,57.8
MOAB_011,2016-04-16,A,siOxalate,0.02
MOAB_011,2016-04-16,A,optDensityOxalate,0.01
MOAB_011,2016-04-16,A,alCitDithionate,0
MOAB_011,2016-04-16,A,feCitDithionate,0.2
