plotID,subplotID,year,nspp_native,nspp_unk,nspp_exotic,shannon_native,shannon_unk,shannon_exotic,cover_native,cover_unk,cover_exotic,rel_cover_native,rel_cover_unk,rel_cover_exotic,shannon_total,nspp_total,rc_Poaceae,rc_exotic_Poaceae,cover_exotic_Poaceae,cover_Poaceae,rc_native_Poaceae,rc_Bromus_tectorum,cover_Bromus_tectorum,site
JORN_001,41.4,2017,7,1,0,1.732867951399863,0,0,4,1,0,0.8,0.2,0,1.8866967846580784,7,0.2,0,0,1,0.2,0,0,JORN
JORN_001,41.4,2018,1,0,0,0,0,0,0.5,0,0,1,0,0,0,1,1,0,0,0.5,1,0,0,JORN
JORN_001,41.4,2019,4,0,0,1.0986122886681096,0,0,1.5,0,0,1,0,0,1.0986122886681096,3,0.3333333333333333,0,0,0.5,0.3333333333333333,0,0,JORN
JORN_002,31.1,2015,3,0,0,0.34883209584303193,0,0,4.5,0,0,1,0,0,0.34883209584303193,2,0.8888888888888888,0,0,4,0.8888888888888888,0,0,JORN
JORN_002,31.1,2016,3,0,0,0.410116318288409,0,0,7,0,0,1,0,0,0.410116318288409,2,0.8571428571428571,0,0,6,0.8571428571428571,0,0,JORN
JORN_002,31.1,2017,5,0,1,1.1935496040981333,0,0,5,0,0.5,0.9090909090909091,0,0.09090909090909091,1.3896811919839047,5,0.45454545454545453,0,0,2.5,0.45454545454545453,0,0,JORN
JORN_002,31.1,2018,4,0,0,1.0986122886681096,0,0,1.5,0,0,1,0,0,1.0986122886681096,3,0.6666666666666666,0,0,1,0.6666666666666666,0,0,JORN
JORN_002,31.1,2019,3,0,0,0.6931471805599453,0,0,1,0,0,1,0,0,0.6931471805599453,2,0.5,0,0,0.5,0.5,0,0,JORN
JORN_002,31.4,2015,3,0,0,0.6365141682948128,0,0,3,0,0,1,0,0,0.6365141682948128,2,0.3333333333333333,0,0,1,0.3333333333333333,0,0,JORN
JORN_002,31.4,2016,4,0,0,1.0986122886681096,0,0,1.5,0,0,1,0,0,1.0986122886681096,3,1,0,0,1.5,1,0,0,JORN
JORN_002,31.4,2017,4,1,0,1.0986122886681096,0,0,1.5,3,0,0.3333333333333333,0.6666666666666666,0,1.0027182645175161,4,0.3333333333333333,0,0,1.5,0.3333333333333333,0,0,JORN
JORN_002,32.2,2015,1,0,0,0,0,0,2,0,0,1,0,0,0,1,1,0,0,2,1,0,0,JORN
JORN_002,32.2,2016,4,0,1,1.0397207708399179,0,0,2,0,0.5,0.8,0,0.2,1.3321790402101223,4,0.6,0,0,1.5,0.6,0,0,JORN
JORN_002,32.2,2017,5,0,0,1.3862943611198906,0,0,0,0,0,0,0,0,1.3862943611198906,4,0,0,0,1,0,0,0,JORN
JORN_002,32.2,2018,3,0,0,0.34883209584303193,0,0,4.5,0,0,1,0,0,0.34883209584303193,2,0.1111111111111111,0,0,0.5,0.1111111111111111,0,0,JORN
JORN_002,32.2,2019,1,0,0,0,0,0,0.5,0,0,1,0,0,0,1,1,0,0,0.5,1,0,0,JORN
JORN_002,32.4,2015,3,0,0,0.45056120886630463,0,0,12,0,0,1,0,0,0.45056120886630463,2,0.8333333333333334,0,0,10,0.8333333333333334,0,0,JORN
JORN_002,32.4,2016,5,0,0,1.1822230016451067,0,0,7.5,0,0,1,0,0,1.1822230016451067,4,0.5333333333333333,0,0,4,0.5333333333333333,0,0,JORN
JORN_002,32.4,2017,8,0,1,1.2711199551426036,0,0,16.5,0,0.5,0.9705882352941176,0,0.029411764705882353,1.3664254949488694,8,0.11764705882352941,0,0,2,0.11764705882352941,0,0,JORN
JORN_002,32.4,2018,3,0,0,0.6365141682948128,0,0,1.5,0,0,1,0,0,0.6365141682948128,2,0.3333333333333333,0,0,0.5,0.3333333333333333,0,0,JORN
JORN_002,32.4,2019,3,0,0,0.6931471805599453,0,0,1,0,0,1,0,0,0.6931471805599453,2,0,0,0,0,0,0,0,JORN
JORN_002,40.1,2015,3,1,0,0.5004024235381879,0,0,2.5,0.5,0,0.8333333333333334,0.16666666666666666,0,0.8675632284814612,3,0,0,0,0,0,0,0,JORN
JORN_002,40.1,2016,3,0,1,0.6931471805599453,0,0,1,0,0.5,0.6666666666666666,0,0.3333333333333333,1.0986122886681096,3,0.3333333333333333,0,0,0.5,0.3333333333333333,0,0,JORN
JORN_002,40.1,2017,5,1,0,1.3321790402101223,0,0,2.5,0.5,0,0.8333333333333334,0.16666666666666666,0,1.5607104090414063,5,0.16666666666666666,0,0,0.5,0.16666666666666666,0,0,JORN
JORN_002,40.1,2018,1,0,0,0,0,0,0.5,0,0,1,0,0,0,1,1,0,0,0.5,1,0,0,JORN
JORN_002,40.1,2019,5,0,0,1.3862943611198906,0,0,2,0,0,1,0,0,1.3862943611198906,4,0,0,0,0,0,0,0,JORN
JORN_002,40.3,2015,4,0,0,1.0549201679861442,0,0,2.5,0,0,1,0,0,1.0549201679861442,3,0.4,0,0,1,0.4,0,0,JORN
JORN_002,40.3,2016,6,0,0,1.4075317407193153,0,0,8,0,0,1,0,0,1.4075317407193153,5,0.3125,0,0,2.5,0.3125,0,0,JORN
JORN_002,40.3,2017,5,0,0,1.3296613488547582,0,0,3,0,0,1,0,0,1.3296613488547582,4,0.3333333333333333,0,0,1,0.3333333333333333,0,0,JORN
JORN_002,40.3,2018,4,0,0,1.0397207708399179,0,0,2,0,0,1,0,0,1.0397207708399179,3,0.25,0,0,0.5,0.25,0,0,JORN
JORN_002,40.3,2019,1,0,0,0,0,0,0.5,0,0,1,0,0,0,1,0,0,0,0,0,0,0,JORN
JORN_002,41.1,2015,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,1,0,0,JORN
JORN_002,41.1,2016,1,0,0,0,0,0,0.5,0,0,1,0,0,0,1,1,0,0,0.5,1,0,0,JORN
JORN_002,41.1,2017,1,1,0,0,0,0,0,0.5,0,0,0,0,0.6931471805599453,2,0,0,0,0,0,0,0,JORN
JORN_002,41.1,2018,1,0,0,0,0,0,0.5,0,0,1,0,0,0,1,1,0,0,0.5,1,0,0,JORN
JORN_002,41.4,2015,5,0,0,1.1685184057430877,0,0,5.5,0,0,1,0,0,1.1685184057430877,4,0.5454545454545454,0,0,3,0.5454545454545454,0,0,JORN
