plotID,subplotID,year,endDate,nspp_native,nspp_exotic,nspp_unk,shannon_native,shannon_exotic,shannon_unk,cover_native,cover_exotic,cover_unk,rel_cover_native,rel_cover_exotic,rel_cover_unk,shannon_total,nspp_total,rc_Fabaceae,rc_Poaceae,rc_exotic_Poaceae,cover_exotic_Poaceae,cover_Fabaceae,cover_Poaceae,rc_native_Poaceae,site
JORN_003,plot,2015,2015-08-25,27,0,1,2.0885006706585503,0,0,15.729166666666666,0,0.20833333333333331,0.9869281045751633,0,0.0130718954248366,2.1308827027601978,27,0.15032679738562094,0.6013071895424837,NA,NA,2.3958333333333335,9.583333333333334,0.6013071895424837,JORN
JORN_003,plot,2016,2016-05-06,12,0,0,1.1676605522773749,0,0,22.489583333333332,0,0,0.9809177646524307,0,0,1.1676605522773749,11,0.07723761926397092,0,NA,NA,1.7708333333333333,0,NA,JORN
JORN_003,plot,2016,2016-09-07,25,1,0,2.0319608056239558,0,0,0,0.4375,0,0,0.01908223534756929,0,2.109917168409823,25,0,0.5138573375738301,NA,NA,0,11.78125,0.5138573375738301,JORN
JORN_003,plot,2017,2017-04-21,20,0,1,1.8788337371129464,0,0,18,0,0.041666666666666664,0.9851767388825542,0,0.002280501710376283,1.9003787320272523,20,0.07354618015963513,0,NA,NA,1.34375,0,NA,JORN
JORN_003,plot,2017,2017-09-21,29,1,0,2.351670873097348,0,0,0,0.22916666666666666,0,0,0.012542759407069556,0,2.408054648494579,29,0,0.4874572405929305,NA,NA,0,8.90625,0.4874572405929305,JORN
JORN_003,plot,2018,2018-04-14,14,0,1,1.5402659000348873,0,0,6.333333333333333,0,0.22916666666666666,0.965079365079365,0,0.03492063492063492,1.6429332847714804,14,0.13015873015873014,0.819047619047619,NA,NA,0.8541666666666666,5.375,0.7841269841269841,JORN
JORN_003,plot,2018,2018-09-05,5,0,0,1.198849312913621,0,0,NA,NA,NA,NA,NA,NA,1.198849312913621,4,NA,NA,NA,NA,NA,NA,NA,JORN
JORN_003,plot,2019,2019-04-16,12,0,1,1.7214996633082575,0,0,3.4375,0,0.125,0.9649122807017544,0,0.03508771929824561,1.813101477186276,12,0,0.6666666666666666,NA,NA,0,2.375,0.631578947368421,JORN
JORN_004,plot,2016,2016-05-07,10,0,0,1.3867915505301482,0,0,NA,NA,NA,NA,NA,NA,1.3867915505301482,9,0.5197505197505197,0.18503118503118504,NA,NA,5.208333333333333,1.8541666666666667,0.18503118503118504,JORN
JORN_004,plot,2016,2016-09-08,9,1,0,1.6682911051697615,0,0,9.979166666666666,0.041666666666666664,0,0.9958419958419957,0.004158004158004157,0,1.742266360417308,9,NA,NA,NA,NA,NA,NA,NA,JORN
