#
# Transition date estimate for NEON.D15.ONAQ.DP1.00042
#
# Site: NEON.D15.ONAQ.DP1.00042
# Veg Type: GR
# ROI ID Number: 1000
# Aggregation period: 1day
# Year min: 2017
# Year max: 2019
# Final Processing Date: 2019-12-28
# Final Processing Time: 15:28:56
# Spline RMSE gcc_mean: 0.00092
# Spline RMSE gcc_50: 0.00095
# Spline RMSE gcc_75: 0.00099
# Spline RMSE gcc_90: 0.00114
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
NEON.D15.ONAQ.DP1.00042,GR,1000,rising,gcc_90,2017-03-13,2017-03-17,2017-03-24,2017-03-08,2017-03-16,2017-03-23,2017-03-16,2017-03-22,2017-04-13,0.34212,0.34451,0.35114,0.34041,0.35957
NEON.D15.ONAQ.DP1.00042,GR,1000,rising,gcc_90,2018-03-19,2018-03-31,2018-04-08,2018-03-08,2018-03-29,2018-04-06,2018-03-21,2018-04-04,2018-04-17,0.34236,0.34513,0.35018,0.34047,0.35984
NEON.D15.ONAQ.DP1.00042,GR,1000,rising,gcc_90,2019-03-19,2019-04-01,2019-04-08,2019-03-17,2019-03-30,2019-04-06,2019-03-22,2019-04-02,2019-04-15,0.34339,0.34924,0.35945,0.33985,0.37775
NEON.D15.ONAQ.DP1.00042,GR,1000,rising,gcc_90,2019-08-11,2019-08-17,2019-09-02,2019-08-09,2019-08-11,2019-09-01,2019-08-18,2019-08-29,2019-09-25,0.33433,0.33582,0.33807,0.33385,0.34199
NEON.D15.ONAQ.DP1.00042,GR,1000,rising,gcc_75,2017-03-13,2017-03-17,2017-03-24,2017-03-08,2017-03-16,2017-03-23,2017-03-16,2017-03-19,2017-04-08,0.34175,0.34411,0.34979,0.33996,0.35822
NEON.D15.ONAQ.DP1.00042,GR,1000,rising,gcc_75,2018-03-10,2018-03-30,2018-04-08,2018-03-08,2018-03-29,2018-04-06,2018-03-21,2018-04-03,2018-04-16,0.34154,0.3442,0.34946,0.33986,0.35865
NEON.D15.ONAQ.DP1.00042,GR,1000,rising,gcc_75,2019-03-19,2019-04-01,2019-04-08,2019-03-17,2019-03-31,2019-04-06,2019-03-22,2019-04-02,2019-04-14,0.34308,0.3487,0.3587,0.3397,0.37638
NEON.D15.ONAQ.DP1.00042,GR,1000,rising,gcc_75,2019-08-11,2019-09-11,2019-09-23,2019-08-10,2019-08-11,2019-09-20,2019-08-18,2019-09-12,2019-10-05,0.33399,0.33539,0.33792,0.33357,0.3417
NEON.D15.ONAQ.DP1.00042,GR,1000,rising,gcc_50,2017-03-12,2017-03-17,2017-03-23,2017-03-08,2017-03-15,2017-03-22,2017-03-15,2017-03-19,2017-04-07,0.34119,0.34369,0.3487,0.33954,0.35652
NEON.D15.ONAQ.DP1.00042,GR,1000,rising,gcc_50,2018-03-10,2018-03-29,2018-04-08,2018-03-08,2018-03-28,2018-04-05,2018-03-20,2018-04-01,2018-04-12,0.34094,0.34319,0.34868,0.33934,0.35716
