#
# Transition date estimate for NEON.D15.ONAQ.DP1.00042
#
# Site: NEON.D15.ONAQ.DP1.00042
# Veg Type: GR
# ROI ID Number: 1000
# Aggregation period: 1day
# Year min: 2017
# Year max: 2019
# Final Processing Date: 2019-12-28
# Final Processing Time: 15:28:56
# Spline RMSE gcc_mean: 0.00092
# Spline RMSE gcc_50: 0.00095
# Spline RMSE gcc_75: 0.00099
# Spline RMSE gcc_90: 0.00114
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
NEON.D15.ONAQ.DP1.00042,GR,1000,rising,gcc_50,2019-03-18,2019-03-31,2019-04-08,2019-03-17,2019-03-30,2019-04-06,2019-03-21,2019-04-02,2019-04-09,0.34221,0.34682,0.35639,0.33929,0.37242
NEON.D15.ONAQ.DP1.00042,GR,1000,rising,gcc_50,2019-09-10,2019-09-12,2019-09-24,2019-08-10,2019-09-11,2019-09-21,2019-09-11,2019-09-22,2019-10-23,0.33372,0.33467,0.33738,0.33318,0.34109
NEON.D15.ONAQ.DP1.00042,GR,1000,rising,gcc_mean,2017-03-11,2017-03-16,2017-03-23,2017-03-08,2017-03-15,2017-03-22,2017-03-15,2017-03-19,2017-04-07,0.34104,0.34297,0.34886,0.33935,0.35644
NEON.D15.ONAQ.DP1.00042,GR,1000,rising,gcc_mean,2017-08-16,2017-09-08,2017-10-05,2017-08-08,2017-09-07,2017-10-04,2017-08-23,2017-09-11,2018-03-20,0.33575,0.3374,0.34104,0.33474,0.34731
NEON.D15.ONAQ.DP1.00042,GR,1000,rising,gcc_mean,2019-03-17,2019-03-31,2019-04-07,2019-03-15,2019-03-24,2019-04-06,2019-03-20,2019-04-02,2019-04-08,0.34154,0.34656,0.35544,0.33836,0.37227
NEON.D15.ONAQ.DP1.00042,GR,1000,rising,gcc_mean,2019-09-09,2019-09-13,2019-09-25,2019-08-10,2019-09-11,2019-09-24,2019-09-10,2019-09-23,2019-10-22,0.33368,0.33488,0.33717,0.33296,0.34105
NEON.D15.ONAQ.DP1.00042,GR,1000,falling,gcc_90,2019-06-11,2019-06-10,2019-06-07,2019-06-12,2019-06-11,2019-06-08,2019-06-10,2019-06-09,2019-06-06,0.33124,0.33528,0.35371,0.3283,0.3769
NEON.D15.ONAQ.DP1.00042,GR,1000,falling,gcc_90,2018-05-28,2018-05-26,2018-05-20,2018-05-30,2018-05-27,2018-05-22,2018-05-26,2018-05-24,2018-05-19,0.33973,0.34204,0.35118,0.33717,0.3629
NEON.D15.ONAQ.DP1.00042,GR,1000,falling,gcc_90,2017-06-05,2017-06-03,2017-05-26,2017-06-06,2017-06-04,2017-05-27,2017-06-03,2017-06-02,2017-05-25,0.33789,0.34233,0.35223,0.33546,0.36866
NEON.D15.ONAQ.DP1.00042,GR,1000,falling,gcc_75,2019-06-11,2019-06-10,2019-06-07,2019-06-12,2019-06-11,2019-06-08,2019-06-10,2019-06-09,2019-06-06,0.33086,0.33493,0.35225,0.32777,0.375
NEON.D15.ONAQ.DP1.00042,GR,1000,falling,gcc_75,2018-05-29,2018-05-26,2018-05-21,2018-05-30,2018-05-27,2018-05-23,2018-05-27,2018-05-24,2018-05-20,0.33835,0.34156,0.3493,0.33655,0.36118
NEON.D15.ONAQ.DP1.00042,GR,1000,falling,gcc_75,2017-06-05,2017-06-03,2017-05-26,2017-06-06,2017-06-04,2017-05-27,2017-06-03,2017-06-01,2017-05-25,0.33715,0.34135,0.35167,0.33539,0.36703
NEON.D15.ONAQ.DP1.00042,GR,1000,falling,gcc_50,2019-06-11,2019-06-10,2019-06-07,2019-06-12,2019-06-11,2019-06-08,2019-06-10,2019-06-09,2019-06-06,0.33007,0.33411,0.35005,0.32683,0.36985
NEON.D15.ONAQ.DP1.00042,GR,1000,falling,gcc_50,2018-05-29,2018-05-26,2018-05-21,2018-06-19,2018-05-27,2018-05-23,2018-05-27,2018-05-24,2018-05-20,0.33745,0.34059,0.34795,0.33564,0.35944
NEON.D15.ONAQ.DP1.00042,GR,1000,falling,gcc_50,2017-06-05,2017-06-03,2017-05-25,2017-06-06,2017-06-04,2017-05-26,2017-06-03,2017-06-01,2017-05-24,0.33587,0.34022,0.35054,0.33402,0.36491
NEON.D15.ONAQ.DP1.00042,GR,1000,falling,gcc_mean,2019-06-11,2019-06-10,2019-06-07,2019-06-12,2019-06-11,2019-06-08,2019-06-10,2019-06-09,2019-06-06,0.32996,0.33401,0.35002,0.3267,0.37104
NEON.D15.ONAQ.DP1.00042,GR,1000,falling,gcc_mean,2018-05-27,2018-05-25,2018-05-20,2018-05-28,2018-05-26,2018-05-22,2018-05-26,2018-05-24,2018-05-19,0.33899,0.34211,0.34871,0.33677,0.35972
NEON.D15.ONAQ.DP1.00042,GR,1000,falling,gcc_mean,2017-06-05,2017-06-03,2017-05-26,2017-06-06,2017-06-04,2017-05-27,2017-06-04,2017-06-02,2017-05-25,0.33557,0.34005,0.3494,0.33314,0.36524
